index,y
2023-01-01_1J7,16.07420563697815
2023-01-01_O2O,3.449462652206421
2023-01-01_8QR,4.9947187304496765
2023-01-01_L58,1.4859012365341189
2023-01-01_UMC,13.088388442993164
2023-01-01_FK3,19.67730164527893
2023-01-01_I1K,14.972448348999025
2023-01-01_KY6,21.994757652282715
2023-01-01_V8D,17.866489887237552
2023-01-01_EK4,19.024243354797363
2023-01-01_357,16.32157802581787
2023-01-01_O7B,18.650366067886353
2023-01-01_RYX,18.614460229873657
2023-01-01_TEP,19.046965837478638
2023-01-01_CUF,19.414150714874268
2023-01-01_4UY,11.504340171813965
2023-01-01_I9K,18.004494905471798
2023-01-01_FA8,20.834946632385254
2023-01-01_EPD,19.033397436141968
2023-01-01_VML,6.27314031124115
2023-01-01_GV0,20.218544006347656
2023-01-01_5KB,18.674136400222782
2023-01-01_6WR,18.469059467315677
2023-01-01_BRZ,19.220051765441895
2023-01-01_BUY,19.802836179733273
2023-01-01_C3A,19.00847315788269
2023-01-01_276,13.729487657546997
2023-01-01_IFB,16.360175609588623
2023-01-01_1PW,17.890549898147583
2023-01-01_6UW,19.362624883651737
2023-01-01_RR1,21.590416431427002
2023-01-01_XTG,19.304720163345337
2023-01-01_JXV,19.00435447692871
2023-01-01_OD3,17.99280047416687
2023-01-01_YTV,17.340669631958008
2023-01-01_Z2T,19.643418788909912
2023-01-01_GOJ,18.411108255386353
2023-01-01_8X9,18.60400676727295
2023-01-01_R83,19.265637397766113
2023-01-01_XIG,20.433762073516846
2023-01-01_CSD,21.327760219573975
2023-01-01_30R,19.157310724258423
2023-01-01_OOY,17.325105667114258
2023-01-01_JCN,21.303260326385498
2023-01-01_G10,19.669140577316284
2023-01-01_MM6,7.234286665916443
2023-01-01_NT4,18.831905126571655
2023-01-01_IOR,8.713220953941345
2023-01-01_J9C,14.378601312637329
2023-01-01_VI4,19.661040306091312
2023-01-01_8WZ,6.553885340690613
2023-01-01_FYB,21.96378231048584
2023-01-01_5GK,15.255202054977417
2023-01-01_QQJ,3.905836045742035
2023-01-01_E9M,9.035574793815613
2023-01-01_F77,20.584065914154053
2023-01-01_JX6,19.362167119979862
2023-01-01_HW6,3.2661330699920654
2023-01-01_30I,5.792208909988403
2023-01-01_CWQ,17.64875054359436
2023-01-01_4IM,3.6251279711723328
2023-01-01_59A,5.298742055892945
2023-01-01_BZ0,9.046493172645569
2023-01-01_5S5,1.4998278021812435
2023-01-01_MK9,18.611619472503662
2023-01-01_JCW,20.158960819244385
2023-01-01_34L,9.897106289863586
2023-01-01_EBP,11.63716673851013
2023-01-01_V4D,17.76618242263794
2023-01-01_3KU,20.590379238128662
2023-01-01_BNR,14.585927724838255
2023-01-01_VGQ,18.504811525344852
2023-01-01_B3W,19.092098474502563
2023-01-01_HOX,9.779838919639587
2023-01-01_9WY,19.903781414031982
2023-01-01_N7J,20.714316368103027
2023-01-01_4YU,10.525010347366331
2023-01-01_JD3,19.504410028457638
2023-01-01_RF2,20.6978178024292
2023-01-01_FBH,21.06156826019287
2023-01-01_P4J,21.754660606384277
2023-01-01_QV8,18.147070407867428
2023-01-01_SH9,19.338072538375854
2023-01-01_DBV,19.408388137817383
2023-01-01_3NQ,18.384567499160763
2023-01-01_651,19.10190463066101
2023-01-01_HOC,21.86135768890381
2023-01-01_3W6,20.208499431610107
2023-01-01_EIZ,19.417827129364017
2023-01-01_87K,18.212045431137085
2023-01-01_289,18.33971381187439
2023-01-01_XRB,19.837706089019775
